name,link,price,store_name
,https://slickdeals.net/computer-deals,,
"All New 8GB Kindle Paperwhite E-Reader (2021 Model, Ad Supported)",https://slickdeals.net/f/15606850-all-new-amazon-kindle-paperwhite-6-8-8gb-e-reader-black-109-99,$110,Target
"32GB Kindle Paperwhite (11th Gen) Signature Edition WiFi eReader w/ 6.8"" Display",https://slickdeals.net/f/15606901-kindle-paperwhite-signature-edition-32-gb-144-99-best-buy,$145,Amazon
"Creality Ender 3 V2 (Refurb) - 220x220x250mm, 32 Bit Mainboard with Silent Drivers (AR) $169.15",https://slickdeals.net/f/15607183-creality-ender-3-v2-refurb-220x220x250mm-32-bit-mainboard-with-silent-drivers-ar-169-15,$169.15,
"Amazon Fire HD Tablets: Fire HD 8: 32GB $45, 64GB $65, Fire HD 8 Plus: 32GB $55, More + Free shipping",https://slickdeals.net/f/15607189-amazon-fire-hd-tablets-fire-hd-8-32gb-45-64gb-65-fire-hd-8-plus-32gb-55-more-free-shipping,$44.99,Amazon
Bitdefender Total Security 1 year 19.99 @ Best Buy $19.99,https://slickdeals.net/f/15607240-bitdefender-total-security-1-year-19-99-best-buy-19-99,$19.99,Best Buy
Kindle Paperwhite Signature Edition (2021 6.8 inch version) Price matched at Amazon - $144.99,https://slickdeals.net/f/15607150-kindle-paperwhite-signature-edition-2021-6-8-inch-version-price-matched-at-amazon-144-99,$144.99,Amazon
Costco Members: Logitech Precision Pro Wireless Mouse,https://slickdeals.net/f/15605917-logitech-precision-pro-wireless-mouse-19-95-5-shipping-costco-online,$20,
(YMMV) Amazon in-app $15 off $25 purchase (two times) - eligible accounts only,https://slickdeals.net/f/15606301-ymmv-amazon-in-app-15-off-25-purchase-two-times-eligible-accounts-only,,Amazon
"Acer Nitro 27"" XV273K 4k 144hz Class UHD IPS G-Sync Compatible Gaming Monitor - $519.99",https://slickdeals.net/f/15606295-acer-nitro-27-xv273k-4k-144hz-class-uhd-ips-g-sync-compatible-gaming-monitor-519-99,,Costco Wholesale
"Costco : HP Pavilion 15.6"" Touchscreen Laptop - 11th Gen Intel Core i7-1195G7 - Windows 11 $779",https://slickdeals.net/f/15606142-costco-hp-pavilion-15-6-touchscreen-laptop-11th-gen-intel-core-i7-1195g7-windows-11-779,$779,Costco Wholesale
"SAMSUNG 34"" Class Flat LED Ultra WQHD Monitor 3,440 x 1,440 75Hz LS34J552WQNXZA $249  (YMMV in store only now)",https://slickdeals.net/f/15605791-samsung-34-class-flat-led-ultra-wqhd-monitor-3-440-x-1-440-75hz-ls34j552wqnxza-249-ymmv-in-store-only-now,$249,Walmart
Sabrent USB 2.0 Sharing Switch up to 4 Computers and Peripherals LED Device Indicators (USB-USS4) - $21.99,https://slickdeals.net/f/15605965-sabrent-usb-2-0-sharing-switch-up-to-4-computers-and-peripherals-led-device-indicators-usb-uss4-21-99,$21.99,Amazon
"Amazon: Select Amex Membership Rewards Cardholders: Pay w/ Points, Get",https://slickdeals.net/f/15605002-amazon-select-amex-membership-rewards-cardholders-pay-w-points-get-20-off-max-discount-of-40,20% Off,Amazon
Logitech K350 Ergonomic Full-size Membrane Wireless Keyboard,https://slickdeals.net/f/15605650-logitech-k350-ergonomic-full-size-membrane-wireless-keyboard-30-free-shipping,$30,B&H Photo Video
"Acer Spin 513 - 13.3"" Chromebook Qualcomm 7c 2.1GHz 4GB RAM 64GB Flash ChromeOS | CP513-1H-S60F *Factory Rectified* $200",https://slickdeals.net/f/15606631-acer-spin-513-13-3-chromebook-qualcomm-7c-2-1ghz-4gb-ram-64gb-flash-chromeos-cp513-1h-s60f-factory-rectified-200,$200,
OLOy Blade RGB 32GB (2 x 16GB) DDR4 3200MHz CL16 Desktop Memory - Newegg.com $99.99,https://slickdeals.net/f/15605959-oloy-blade-rgb-32gb-2-x-16gb-ddr4-3200mhz-cl16-desktop-memory-newegg-com-99-99,$99.99,Newegg
YMMV in store - SanDisk Extreme Plus 128gb msd 2pk w/msd adapter (1320128) $29.97,https://slickdeals.net/f/15606586-ymmv-in-store-sandisk-extreme-plus-128gb-msd-2pk-w-msd-adapter-1320128-29-97,$29.97,Costco Wholesale
"HP Pavilion Gaming PC, Ryzen 5 5600G, Radeon RX 6600XT, 16GB RAM, 512GB ssd + 1TB hdd - Micro Center $899.99 + shipping",https://slickdeals.net/f/15606034-hp-pavilion-gaming-pc-ryzen-5-5600g-radeon-rx-6600xt-16gb-ram-512gb-ssd-1tb-hdd-micro-center-899-99-shipping,$899.99,
"Team Group CX2 2.5"" 1TB SATA III 3D NAND Internal Solid State Drive (SSD) T253X6001T0C101 - $70.99 shipped",https://slickdeals.net/f/15605884-team-group-cx2-2-5-1tb-sata-iii-3d-nand-internal-solid-state-drive-ssd-t253x6001t0c101-70-99-shipped,$70.99,Newegg
"XPG X15TI7G11GXE 15.6 inch XENIA Xe Gaming Lifestyle Ultrabook i7-1165, Xe iGPU $999",https://slickdeals.net/f/15605926-xpg-x15ti7g11gxe-15-6-inch-xenia-xe-gaming-lifestyle-ultrabook-i7-1165-xe-igpu-999,$999,Walmart
Epson® FastFoto® FF-680W High-Speed Wireless Desktop Photo Scanner $549.99,https://slickdeals.net/f/15605896-epson-fastfoto-ff-680w-high-speed-wireless-desktop-photo-scanner-549-99,$549.99,
1TB Samsung 980 PRO NVMe Gen 4 SSD $150,https://slickdeals.net/f/15605611-1tb-samsung-980-pro-nvme-gen-4-ssd-150,$150,Newegg
Antec Dark Avenger DA601 E-ATX Tempered Glass Mid Tower Case (AR) $60,https://slickdeals.net/f/15605602-antec-dark-avenger-da601-e-atx-tempered-glass-mid-tower-case-ar-60,$59.99,Newegg
"Gigabyte A5 X1: 15.6"" FHD 240Hz IPS, Ryzen 9 5900HX, RTX 3070, 16GB DDR4, 512GB PCIe SSD, Win10H @ $1399 AR",https://slickdeals.net/f/15605653-gigabyte-a5-x1-15-6-fhd-240hz-ips-ryzen-9-5900hx-rtx-3070-16gb-ddr4-512gb-pcie-ssd-win10h-1399-ar,"$1,399",Newegg
12-Month Microsoft 365 Personal (1 User) + TurboTax 2021 Deluxe w/ State,https://slickdeals.net/f/15604417-12-month-microsoft-365-turbotax-deluxe-w-state-combos-starting-at-65,$65,Newegg
Target Heyday Bluetooth Mouse $14.99 (FS w/$35 order or free in-store pickup),https://slickdeals.net/f/15604744-target-heyday-bluetooth-mouse-14-99-fs-w-35-order-or-free-in-store-pickup,$14.99,Target
32GB (2x 16) Team T-FORCE VULCAN Z DDR4 3200 Desktop RAM kit $100,https://slickdeals.net/f/15605599-32gb-2x-16-team-t-force-vulcan-z-ddr4-3200-desktop-ram-kit-100,$100,Newegg
Costco Members only: Microsoft Surface Pro 7+ Laptop bundle w/ Type Cover & Pen $799.99,https://slickdeals.net/f/15605524-costco-members-only-microsoft-surface-pro-7-laptop-bundle-w-type-cover-pen-799-99,$799.99,Costco Wholesale
,https://slickdeals.net/computer-deals/?page=2,,
"Gigabyte M32U 32"" 4K 144Hz ss IPS 1ms FreeSync Premium Type-C, DisplayHDR 400 Gaming Monitor @ $699.99 + F/S at Newegg",https://slickdeals.net/f/15604192-gigabyte-m32u-32-4k-144hz-ss-ips-1ms-freesync-premium-type-c-displayhdr-400-gaming-monitor-699-99-f-s-at-newegg,$699.99,Newegg
Fujifilm 128GB Class 10 UHS-1 Elite microSDXC Memory Card - $14,https://slickdeals.net/f/15605404-fujifilm-128gb-class-10-uhs-1-elite-microsdxc-memory-card-14,$14,Adorama
Amazon Prime Rewards Visa Card Cardholders: 1TB Samsung T7 Portable SSD,https://slickdeals.net/f/15603490-samsung-t7-portable-ssd-1tb-97-75-with-amazon-prime-cards,$115,Amazon
850W CORSAIR RM850x White 80+ Gold Modular Power Supply (AR) $95,https://slickdeals.net/f/15603940-850w-corsair-rm850x-white-80-gold-modular-power-supply-ar-95,$95,Newegg
2TB Sabrent Rocket Q4 NVMe PCIe 4.0 M.2 2280 Internal Solid State Drive,https://slickdeals.net/f/15603406-sabrent-2tb-rocket-q4-nvme-pcie-4-0-m-2-2280-internal-ssd-maximum-performance-solid-state-drive-r-w-4800-3600-mb-s-sb-rktq4-2tb-186,$187,Newegg
Dell Inspiron 15 Touchscreen Laptop - 11th Gen Intel Core i7-1165G7 - 1080p Costco $649.99,https://slickdeals.net/f/15604300-dell-inspiron-15-touchscreen-laptop-11th-gen-intel-core-i7-1165g7-1080p-costco-649-99,$649.99,
